<<<<<<< HEAD
plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ engine_trig_fibres engine_data_fibres engine_ctrl_fibres isSiPM
1 3 1 FI 418.600 145.010 1 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 1 1.000 8.000 2.840 3.000 3.391 4.000 3 0 False 6 7.200 0 19.107 1 103010 103011 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 3.000 2.000 2.000 False
1 4 2 FI 502.320 290.020 1 6 502.300 193.300 586.000 241.700 586.000 338.400 502.300 386.700 418.600 338.400 418.600 241.700 502.300 193.300 1 1.000 6.000 2.068 3.000 2.210 3.000 3 0 False 6 7.200 0 30.000 1 104020 104021 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 3.000 2.000 2.000 False
1 5 3 FI 586.040 435.020 1 6 586.000 338.400 669.800 386.700 669.800 483.400 586.000 531.700 502.300 483.400 502.300 386.700 586.000 338.400 1 1.000 4.000 1.568 2.000 1.605 2.000 3 0 True 6 7.200 0 36.587 1 105030 105031 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 3.000 2.000 2.000 False
1 6 5 FO 586.040 725.040 4 6 586.000 628.400 669.800 676.700 669.800 773.400 586.000 821.700 502.300 773.400 502.300 676.700 586.000 628.400 1 1.000 3.000 0.957 1.000 0.911 1.000 4 1 False 3 3.600 0 51.052 0 106050 106050 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 7 6 FO 669.760 870.050 4 6 669.800 773.400 753.500 821.700 753.500 918.400 669.800 966.700 586.000 918.400 586.000 821.700 669.800 773.400 1 1.000 3.000 0.757 1.000 0.720 1.000 4 1 False 3 3.600 0 52.411 0 107060 107060 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 8 7 FO 753.480 1015.060 4 6 753.500 918.400 837.200 966.700 837.200 1063.400 753.500 1111.700 669.800 1063.400 669.800 966.700 753.500 918.400 1 1.000 2.000 0.590 1.000 0.569 1.000 4 0 True 3 3.600 0 53.413 0 108070 108070 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 9 8 bOe 837.200 1160.060 2 5 920.900 1208.400 753.500 1208.400 753.500 1111.700 837.200 1063.400 920.900 1111.700 920.900 1208.400 0.000 0.000 1 1.000 2.000 0.376 1.000 0.376 1.000 4 0 False 3 3.600 0 54.183 0 109080 109080 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 6 4 FM 669.760 580.030 4 6 669.800 483.400 753.500 531.700 753.500 628.400 669.800 676.700 586.000 628.400 586.000 531.700 669.800 483.400 1 1.000 3.000 1.008 2.000 0.983 1.000 5 1 False 3 3.600 0 40.893 0 106040 106040 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 7 5 FO 753.480 725.040 4 6 753.500 628.400 837.200 676.700 837.200 773.400 753.500 821.700 669.800 773.400 669.800 676.700 753.500 628.400 1 1.000 3.000 0.802 1.000 0.763 1.000 5 1 False 3 3.600 0 43.898 0 107050 107050 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 8 6 FO 837.200 870.050 4 6 837.200 773.400 920.900 821.700 920.900 918.400 837.200 966.700 753.500 918.400 753.500 821.700 837.200 773.400 1 1.000 3.000 0.647 1.000 0.620 1.000 5 0 True 3 3.600 0 46.102 0 108060 108060 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 9 7 FO 920.920 1015.060 4 6 920.900 918.400 1004.600 966.700 1004.600 1063.400 920.900 1111.700 837.200 1063.400 837.200 966.700 920.900 918.400 1 1.000 2.000 0.589 1.000 0.589 1.000 5 0 False 3 3.600 0 47.784 0 109070 109070 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 10 8 cOe 1004.640 1160.060 0 3 1004.600 1063.400 920.900 1208.400 920.900 1111.700 1004.600 1063.400 0.000 0.000 0.000 0.000 0.000 0.000 1 0.000 0.000 0.000 0.000 0.000 0.000 5 0 False 3 3.600 0 49.107 0 110080 110080 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 6 3 FM 753.480 435.020 4 6 753.500 338.400 837.200 386.700 837.200 483.400 753.500 531.700 669.800 483.400 669.800 386.700 753.500 338.400 1 1.000 4.000 1.045 2.000 1.020 2.000 6 1 False 3 3.600 0 30.000 0 106030 106030 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 7 4 FO 837.200 580.030 4 6 837.200 483.400 920.900 531.700 920.900 628.400 837.200 676.700 753.500 628.400 753.500 531.700 837.200 483.400 1 1.000 3.000 0.834 1.000 0.793 1.000 6 1 False 3 3.600 0 34.715 0 107040 107040 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 8 5 FO 920.920 725.040 4 6 920.900 628.400 1004.600 676.700 1004.600 773.400 920.900 821.700 837.200 773.400 837.200 676.700 920.900 628.400 1 1.000 3.000 0.680 1.000 0.649 1.000 6 0 True 3 3.600 0 38.213 0 108050 108050 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 9 6 FO 1004.640 870.050 4 6 1004.600 773.400 1088.400 821.700 1088.400 918.400 1004.600 966.700 920.900 918.400 920.900 821.700 1004.600 773.400 1 1.000 2.000 0.547 1.000 0.536 1.000 6 0 False 3 3.600 0 40.894 0 109060 109060 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 10 7 aOeT 1088.370 1015.060 1 4 1172.100 966.700 1004.600 1063.400 1004.600 966.700 1088.400 918.400 1172.100 966.700 0.000 0.000 0.000 0.000 1 1.000 2.000 0.227 1.000 0.227 1.000 6 0 False 3 3.600 0 43.004 0 110070 110070 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 6 2 FM 837.200 290.020 0 6 837.200 193.300 920.900 241.700 920.900 338.400 837.200 386.700 753.500 338.400 753.500 241.700 837.200 193.300 1 1.000 3.000 1.011 2.000 0.985 2.000 7 0 False 3 3.600 0 19.107 0 106020 106020 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 7 2 FO 1004.640 290.020 0 6 1004.600 193.300 1088.400 241.700 1088.400 338.400 1004.600 386.700 920.900 338.400 920.900 241.700 1004.600 193.300 1 1.000 3.000 0.802 1.000 0.763 1.000 7 0 True 3 3.600 0 16.102 0 107020 107020 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 8 2 FO 1172.090 290.020 0 6 1172.100 193.300 1255.800 241.700 1255.800 338.400 1172.100 386.700 1088.400 338.400 1088.400 241.700 1172.100 193.300 1 1.000 3.000 0.647 1.000 0.619 1.000 7 1 False 3 3.600 0 13.898 0 108020 108020 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 9 2 FO 1339.530 290.020 0 6 1339.500 193.300 1423.200 241.700 1423.200 338.400 1339.500 386.700 1255.800 338.400 1255.800 241.700 1339.500 193.300 1 1.000 2.000 0.590 1.000 0.590 1.000 7 1 False 3 3.600 0 12.216 0 109020 109020 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 10 2 cOe 1506.970 290.020 0 3 1507.000 193.300 1423.200 338.400 1423.200 241.700 1507.000 193.300 0.000 0.000 0.000 0.000 0.000 0.000 1 0.000 0.000 0.000 0.000 0.000 0.000 7 1 False 3 3.600 0 10.894 0 110020 110020 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 6 1 FO 920.920 145.010 0 6 920.900 48.300 1004.600 96.700 1004.600 193.300 920.900 241.700 837.200 193.300 837.200 96.700 920.900 48.300 1 1.000 3.000 0.957 1.000 0.911 1.000 8 0 False 3 3.600 0 8.948 0 106010 106010 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 7 1 FO 1088.370 145.010 0 6 1088.400 48.300 1172.100 96.700 1172.100 193.300 1088.400 241.700 1004.600 193.300 1004.600 96.700 1088.400 48.300 1 1.000 3.000 0.756 1.000 0.720 1.000 8 0 True 3 3.600 0 7.589 0 107010 107010 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 8 1 FO 1255.810 145.010 0 6 1255.800 48.300 1339.500 96.700 1339.500 193.300 1255.800 241.700 1172.100 193.300 1172.100 96.700 1255.800 48.300 1 1.000 2.000 0.593 1.000 0.573 1.000 8 1 False 3 3.600 0 6.587 0 108010 108010 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 9 1 FOe 1423.250 145.010 0 6 1423.200 48.300 1507.000 96.700 1507.000 193.300 1423.200 241.700 1339.500 193.300 1339.500 96.700 1423.200 48.300 1 1.000 2.000 0.463 1.000 0.465 1.000 8 1 False 3 3.600 0 5.818 0 109010 109010 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 5 0 FM 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 1 1.000 4.000 1.109 2.000 1.086 2.000 9 0 False 3 3.600 0 0.000 0 105000 105000 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 6 0 FO 1004.640 0.000 0 6 1004.600 -96.700 1088.400 -48.300 1088.400 48.300 1004.600 96.700 920.900 48.300 920.900 -48.300 1004.600 -96.700 1 1.000 3.000 0.850 1.000 0.809 1.000 9 0 True 3 3.600 0 0.000 0 106000 106000 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 7 0 FO 1172.090 0.000 0 6 1172.100 -96.700 1255.800 -48.300 1255.800 48.300 1172.100 96.700 1088.400 48.300 1088.400 -48.300 1172.100 -96.700 1 1.000 3.000 0.675 1.000 0.644 1.000 9 1 False 3 3.600 0 0.000 0 107000 107000 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 8 0 FO 1339.530 0.000 0 6 1339.500 -96.700 1423.200 -48.300 1423.200 48.300 1339.500 96.700 1255.800 48.300 1255.800 -48.300 1339.500 -96.700 1 1.000 2.000 0.616 1.000 0.616 1.000 9 1 False 3 3.600 0 0.000 0 108000 108000 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 9 0 cOe 1506.970 0.000 5 3 1423.200 -48.300 1507.000 96.700 1423.200 48.300 1423.200 -48.300 0.000 0.000 0.000 0.000 0.000 0.000 1 0.000 0.000 0.000 0.000 0.000 0.000 9 1 False 3 3.600 0 0.000 0 109000 109000 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 7 3 FO 920.920 435.020 0 6 920.900 338.400 1004.600 386.700 1004.600 483.400 920.900 531.700 837.200 483.400 837.200 386.700 920.900 338.400 1 1.000 3.000 0.834 1.000 0.793 1.000 10 0 False 3 3.600 0 25.285 0 107030 107030 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 8 3 FO 1088.370 435.020 0 6 1088.400 338.400 1172.100 386.700 1172.100 483.400 1088.400 531.700 1004.600 483.400 1004.600 386.700 1088.400 338.400 1 1.000 3.000 0.677 1.000 0.646 1.000 10 0 True 3 3.600 0 21.787 0 108030 108030 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 9 3 FO 1255.810 435.020 0 6 1255.800 338.400 1339.500 386.700 1339.500 483.400 1255.800 531.700 1172.100 483.400 1172.100 386.700 1255.800 338.400 1 1.000 2.000 0.546 1.000 0.536 1.000 10 1 False 3 3.600 0 19.106 0 109030 109030 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 10 3 aOeB 1423.250 435.020 0 4 1423.200 338.400 1423.200 531.700 1339.500 483.400 1339.500 386.700 1423.200 338.400 0.000 0.000 0.000 0.000 1 1.000 2.000 0.232 1.000 0.232 1.000 10 1 False 3 3.600 0 16.996 0 110030 110030 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 2.000 1.000 1.000 False
1 8 4 FO 1004.640 580.030 0 6 1004.600 483.400 1088.400 531.700 1088.400 628.400 1004.600 676.700 920.900 628.400 920.900 531.700 1004.600 483.400 1 1.000 3.000 0.690 1.000 0.658 1.000 11 0 True 3 3.600 0 30.000 0 108040 108040 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2.000 1.000 1.000 False
1 9 4 FO 1172.090 580.030 0 6 1172.100 483.400 1255.800 531.700 1255.800 628.400 1172.100 676.700 1088.400 628.400 1088.400 531.700 1172.100 483.400 1 1.000 2.000 0.563 1.000 0.549 1.000 11 1 False 3 3.600 0 26.329 0 109040 109040 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2.000 1.000 1.000 False
1 9 5 FO 1088.370 725.040 4 6 1088.400 628.400 1172.100 676.700 1172.100 773.400 1088.400 821.700 1004.600 773.400 1004.600 676.700 1088.400 628.400 1 1.000 2.000 0.563 1.000 0.549 1.000 11 0 False 3 3.600 0 33.670 0 109050 109050 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2.000 1.000 1.000 False
1 10 4 bOe 1339.530 580.030 1 5 1423.200 531.700 1339.500 676.700 1255.800 628.400 1255.800 531.700 1339.500 483.400 1423.200 531.700 0.000 0.000 1 1.000 2.000 0.381 1.000 0.381 1.000 11 1 False 3 3.600 0 23.413 0 110040 110040 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2.000 1.000 1.000 False
1 10 5 dOeL 1255.810 725.040 0 5 1255.800 628.400 1297.700 652.500 1213.900 797.500 1172.100 773.400 1172.100 676.700 1255.800 628.400 0.000 0.000 1 1.000 2.000 0.226 1.000 0.226 1.000 11 1 False 2 2.400 0 30.000 0 110050 110050 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2.000 1.000 1.000 False
1 10 6 bOe 1172.090 870.050 1 5 1255.800 821.700 1172.100 966.700 1088.400 918.400 1088.400 821.700 1172.100 773.400 1255.800 821.700 0.000 0.000 1 1.000 2.000 0.382 1.000 0.382 1.000 11 0 False 3 3.600 0 36.587 0 110060 110060 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_3 C C PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_15 DAQ_2_2 2.000 1.000 1.000 False
1 2 2 gIe 167.440 290.015 4 6 83.705 338.382 83.695 316.564 232.305 230.764 251.195 241.682 251.129 338.368 167.471 386.668 83.705 338.382 2 1.000 7.000 3.184 4.000 3.184 4.000 100 0 False 6 7.200 0 60.000 1 102020 102021 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3.000 2.000 2.000 False
